Time,Event
2025-03-09 13:33:10,Multiple faces detected - Possible cheating
2025-03-09 13:33:10,Multiple faces detected - Possible cheating
2025-03-09 13:33:11,Multiple faces detected - Possible cheating
2025-03-09 13:33:11,Multiple faces detected - Possible cheating
2025-03-09 13:33:12,Multiple faces detected - Possible cheating
2025-03-09 13:33:12,Multiple faces detected - Possible cheating
2025-03-09 13:33:13,Multiple faces detected - Possible cheating
2025-03-09 13:33:15,Multiple faces detected - Possible cheating
2025-03-09 13:33:22,Multiple faces detected - Possible cheating
2025-03-09 13:33:23,Multiple faces detected - Possible cheating
2025-03-09 13:33:23,Multiple faces detected - Possible cheating
2025-03-09 13:33:24,Multiple faces detected - Possible cheating
2025-03-09 13:33:24,Multiple faces detected - Possible cheating
2025-03-09 13:33:24,Multiple faces detected - Possible cheating
2025-03-09 13:33:24,Multiple faces detected - Possible cheating
2025-03-09 13:33:25,Multiple faces detected - Possible cheating
2025-03-09 13:33:25,Multiple faces detected - Possible cheating
2025-03-09 13:33:26,Multiple faces detected - Possible cheating
2025-03-09 13:33:27,Multiple faces detected - Possible cheating
2025-03-09 13:33:28,Multiple faces detected - Possible cheating
2025-03-09 13:33:28,Multiple faces detected - Possible cheating
2025-03-09 13:33:28,Multiple faces detected - Possible cheating
2025-03-09 13:33:28,Multiple faces detected - Possible cheating
2025-03-09 13:33:36,Multiple faces detected - Possible cheating
2025-03-09 13:33:36,Multiple faces detected - Possible cheating
2025-03-09 13:33:37,Multiple faces detected - Possible cheating
2025-03-09 13:33:37,Multiple faces detected - Possible cheating
2025-03-09 13:33:37,Multiple faces detected - Possible cheating
2025-03-09 13:33:39,Multiple faces detected - Possible cheating
2025-03-09 13:33:42,Multiple faces detected - Possible cheating
2025-03-09 13:33:42,Multiple faces detected - Possible cheating
2025-03-09 13:33:42,Multiple faces detected - Possible cheating
2025-03-09 13:33:42,Multiple faces detected - Possible cheating
2025-03-09 13:33:43,Multiple faces detected - Possible cheating
2025-03-09 13:33:43,Multiple faces detected - Possible cheating
2025-03-09 13:33:44,Multiple faces detected - Possible cheating
2025-03-09 13:33:45,Multiple faces detected - Possible cheating
2025-03-09 13:33:46,Multiple faces detected - Possible cheating
2025-03-09 13:33:46,Multiple faces detected - Possible cheating
2025-03-09 13:33:47,Multiple faces detected - Possible cheating
2025-03-09 13:33:47,Multiple faces detected - Possible cheating
2025-03-09 13:33:48,Multiple faces detected - Possible cheating
2025-03-09 13:33:48,Multiple faces detected - Possible cheating
2025-03-09 13:33:54,Multiple faces detected - Possible cheating
2025-03-09 13:33:54,Multiple faces detected - Possible cheating
2025-03-09 13:33:54,Multiple faces detected - Possible cheating
2025-03-09 13:33:55,Multiple faces detected - Possible cheating
2025-03-09 13:33:55,Multiple faces detected - Possible cheating
2025-03-09 13:33:55,Multiple faces detected - Possible cheating
2025-03-09 13:33:55,Multiple faces detected - Possible cheating
2025-03-09 13:33:56,Multiple faces detected - Possible cheating
2025-03-09 13:33:56,Multiple faces detected - Possible cheating
2025-03-09 13:33:56,Multiple faces detected - Possible cheating
2025-03-09 13:33:56,Multiple faces detected - Possible cheating
2025-03-09 13:33:58,Multiple faces detected - Possible cheating
2025-03-09 13:33:58,Multiple faces detected - Possible cheating
2025-03-09 13:33:58,Multiple faces detected - Possible cheating
2025-03-09 13:33:58,Multiple faces detected - Possible cheating
2025-03-09 13:33:59,Multiple faces detected - Possible cheating
2025-03-09 13:34:02,Multiple faces detected - Possible cheating
2025-03-09 13:34:03,Multiple faces detected - Possible cheating
2025-03-09 13:34:03,Multiple faces detected - Possible cheating
2025-03-09 13:34:03,Multiple faces detected - Possible cheating
2025-03-09 13:34:03,Multiple faces detected - Possible cheating
2025-03-09 13:34:03,Multiple faces detected - Possible cheating
2025-03-09 13:34:05,Multiple faces detected - Possible cheating
2025-03-09 13:34:05,Multiple faces detected - Possible cheating
2025-03-09 13:34:05,Multiple faces detected - Possible cheating
2025-03-09 13:34:06,Multiple faces detected - Possible cheating
2025-03-09 13:34:06,Multiple faces detected - Possible cheating
2025-03-09 13:34:11,Multiple faces detected - Possible cheating
2025-03-09 13:34:12,Multiple faces detected - Possible cheating
2025-03-09 13:34:12,Multiple faces detected - Possible cheating
2025-03-09 13:34:13,Multiple faces detected - Possible cheating
2025-03-09 13:34:13,Multiple faces detected - Possible cheating
2025-03-09 13:34:15,Multiple faces detected - Possible cheating
2025-03-09 13:34:18,Multiple faces detected - Possible cheating
2025-03-09 13:34:18,Multiple faces detected - Possible cheating
2025-03-09 13:34:19,Multiple faces detected - Possible cheating
2025-03-09 13:34:19,Multiple faces detected - Possible cheating
2025-03-09 13:34:19,Multiple faces detected - Possible cheating
2025-03-09 13:34:20,Multiple faces detected - Possible cheating
2025-03-09 13:34:20,Multiple faces detected - Possible cheating
2025-03-09 13:34:20,Multiple faces detected - Possible cheating
2025-03-09 13:34:21,Multiple faces detected - Possible cheating
2025-03-09 13:34:23,Multiple faces detected - Possible cheating
2025-03-09 13:34:24,Multiple faces detected - Possible cheating
2025-03-09 13:34:26,Multiple faces detected - Possible cheating
2025-03-09 13:34:27,Multiple faces detected - Possible cheating
2025-03-09 13:34:27,Multiple faces detected - Possible cheating
2025-03-09 13:34:27,Multiple faces detected - Possible cheating
2025-03-09 13:34:28,Multiple faces detected - Possible cheating
2025-03-09 13:34:28,Multiple faces detected - Possible cheating
2025-03-09 13:34:28,Multiple faces detected - Possible cheating
2025-03-09 13:34:29,Multiple faces detected - Possible cheating
2025-03-09 13:34:30,Multiple faces detected - Possible cheating
2025-03-09 13:34:33,Multiple faces detected - Possible cheating
2025-03-09 13:34:35,Multiple faces detected - Possible cheating
2025-03-09 13:34:35,Multiple faces detected - Possible cheating
2025-03-09 13:35:48,Multiple faces detected - Possible cheating
2025-03-09 13:35:48,Multiple faces detected - Possible cheating
2025-03-09 13:35:49,Multiple faces detected - Possible cheating
2025-03-09 13:35:49,Multiple faces detected - Possible cheating
2025-03-09 13:35:49,Multiple faces detected - Possible cheating
2025-03-09 13:35:51,Multiple faces detected - Possible cheating
2025-03-09 13:35:52,Multiple faces detected - Possible cheating
2025-03-09 13:35:54,Multiple faces detected - Possible cheating
2025-03-09 13:35:55,Multiple faces detected - Possible cheating
2025-03-09 13:35:56,Multiple faces detected - Possible cheating
2025-03-09 13:35:56,Multiple faces detected - Possible cheating
2025-03-09 13:35:57,Multiple faces detected - Possible cheating
2025-03-09 13:35:59,Multiple faces detected - Possible cheating
2025-03-09 13:36:00,Multiple faces detected - Possible cheating
2025-03-09 13:36:00,Multiple faces detected - Possible cheating
2025-03-09 13:36:00,Multiple faces detected - Possible cheating
2025-03-09 13:36:01,Multiple faces detected - Possible cheating
2025-03-09 13:36:02,Multiple faces detected - Possible cheating
2025-03-09 13:36:02,Multiple faces detected - Possible cheating
2025-03-09 13:36:03,Multiple faces detected - Possible cheating
2025-03-09 13:36:03,Multiple faces detected - Possible cheating
2025-03-09 13:36:03,Multiple faces detected - Possible cheating
2025-03-09 13:36:04,Multiple faces detected - Possible cheating
2025-03-09 13:36:04,Multiple faces detected - Possible cheating
2025-03-09 13:36:05,Multiple faces detected - Possible cheating
2025-03-09 13:36:05,Multiple faces detected - Possible cheating
2025-03-09 13:36:06,Multiple faces detected - Possible cheating
2025-03-09 13:36:06,Multiple faces detected - Possible cheating
2025-03-09 13:36:07,Multiple faces detected - Possible cheating
2025-03-09 13:44:01,Student looking away - Suspicious head movement
2025-03-09 13:44:01,Student looking away - Eye movement detected
2025-03-09 13:44:01,Student looking away - Suspicious head movement
2025-03-09 13:44:01,Student looking away - Eye movement detected
2025-03-09 13:44:01,Student looking away - Suspicious head movement
2025-03-09 13:44:01,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:02,Student looking away - Suspicious head movement
2025-03-09 13:44:02,Student looking away - Eye movement detected
2025-03-09 13:44:03,Student looking away - Suspicious head movement
2025-03-09 13:44:03,Student looking away - Eye movement detected
2025-03-09 13:44:03,Student looking away - Suspicious head movement
2025-03-09 13:44:03,Student looking away - Eye movement detected
2025-03-09 13:44:03,Student looking away - Suspicious head movement
2025-03-09 13:44:03,Student looking away - Eye movement detected
2025-03-09 13:44:03,Student looking away - Suspicious head movement
2025-03-09 13:44:03,Student looking away - Eye movement detected
2025-03-09 13:44:03,Student looking away - Suspicious head movement
2025-03-09 13:44:03,Student looking away - Eye movement detected
2025-03-09 13:44:03,Student looking away - Suspicious head movement
2025-03-09 13:44:03,Student looking away - Eye movement detected
2025-03-09 13:44:03,Student looking away - Suspicious head movement
2025-03-09 13:44:03,Student looking away - Eye movement detected
2025-03-09 13:44:03,Student looking away - Suspicious head movement
2025-03-09 13:44:03,Student looking away - Eye movement detected
2025-03-09 13:44:04,Student looking away - Suspicious head movement
2025-03-09 13:44:04,Student looking away - Eye movement detected
2025-03-09 13:44:04,Student looking away - Suspicious head movement
2025-03-09 13:44:04,Student looking away - Eye movement detected
2025-03-09 13:44:04,Student looking away - Suspicious head movement
2025-03-09 13:44:04,Student looking away - Eye movement detected
2025-03-09 13:44:04,Student looking away - Suspicious head movement
2025-03-09 13:44:04,Student looking away - Eye movement detected
2025-03-09 13:44:04,Student looking away - Suspicious head movement
2025-03-09 13:44:04,Student looking away - Eye movement detected
2025-03-09 13:44:04,Student looking away - Suspicious head movement
2025-03-09 13:44:04,Student looking away - Eye movement detected
2025-03-09 13:44:04,Student looking away - Suspicious head movement
2025-03-09 13:44:04,Student looking away - Eye movement detected
2025-03-09 13:44:05,Student looking away - Suspicious head movement
2025-03-09 13:44:05,Student looking away - Eye movement detected
2025-03-09 13:44:05,Student looking away - Suspicious head movement
2025-03-09 13:44:05,Student looking away - Eye movement detected
2025-03-09 13:44:05,Student looking away - Suspicious head movement
2025-03-09 13:44:05,Student looking away - Eye movement detected
2025-03-09 13:44:05,Student looking away - Suspicious head movement
2025-03-09 13:44:05,Student looking away - Eye movement detected
2025-03-09 13:44:05,Student looking away - Suspicious head movement
2025-03-09 13:44:05,Student looking away - Eye movement detected
2025-03-09 13:44:05,Student looking away - Suspicious head movement
2025-03-09 13:44:05,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Suspicious head movement
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:06,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
2025-03-09 13:44:07,Student looking away - Eye movement detected
2025-03-09 13:44:07,Student looking away - Suspicious head movement
